4226,201,11962,18707,255,202,12057,11939,255,203,11801,11902,0,204,11957,0,170
4234,201,11961,18687,255,202,12063,11934,255,203,11794,11905,255,204,11959,0,170
4242,201,11963,18703,255,202,12062,11932,255,203,11799,11909,255,204,11956,0,170
4250,201,11966,18692,255,202,12061,11937,255,203,11805,11902,255,204,11957,0,170
4257,201,11961,18695,255,202,12050,11937,255,203,11798,11903,255,204,11958,0,170
4265,201,11961,18702,255,202,12065,11933,255,203,11802,11902,255,204,11961,0,170
4273,201,11952,18696,255,202,12048,11930,255,203,11800,11902,255,204,11951,0,170
4281,201,11962,18703,255,202,12062,11929,255,203,11797,11905,255,204,11958,0,170
4289,201,11970,18694,255,202,12060,11930,255,203,11800,11898,255,204,11957,0,170
4296,201,11963,18707,255,202,12060,11939,255,203,11794,11905,255,204,11960,0,170
4304,201,11964,18685,255,202,12055,11928,255,203,11803,11905,255,204,11959,0,170
4312,201,11963,18696,255,202,12057,11936,255,203,11803,11900,255,204,11955,0,170
4320,201,11962,18693,255,202,12054,11933,255,203,11797,11908,255,204,11959,0,170
4328,201,11965,18698,255,202,12066,11935,255,203,11803,11901,255,204,11955,0,170
4335,201,11963,18684,255,202,12052,11933,255,203,11800,11905,255,204,11955,0,170
4343,201,11968,18692,255,202,12058,11939,255,203,11798,11901,255,204,11959,0,170
4351,201,11959,18698,255,202,12050,11933,255,203,11801,11901,255,204,11955,0,170
4359,201,11965,18692,255,202,12056,11937,255,203,11797,11906,255,204,11957,0,170
4367,201,11961,18719,255,202,12054,11933,255,203,11801,11907,255,204,11961,0,170
4375,201,11961,18691,255,202,12063,11940,255,203,11795,11907,255,204,11961,0,170
4382,201,11960,18704,255,202,12056,11934,255,203,11796,11903,255,204,11957,0,170
4390,201,11963,18697,255,202,12058,11936,255,203,11783,11910,255,204,11952,0,170
4398,201,11960,18691,255,202,12056,11939,255,203,11797,11908,255,204,11961,0,170
4406,201,11963,18710,255,202,12065,11941,255,203,11791,11909,255,204,11962,0,170
4414,201,11969,18697,255,202,12064,11929,255,203,11782,11907,255,204,11955,0,170
4421,201,11961,18688,255,202,12057,11938,255,203,11795,11908,255,204,11952,0,170
4429,201,11969,18724,255,202,12068,11931,255,203,11784,11906,255,204,11959,0,170
4437,201,11954,18688,255,202,12059,11937,255,203,11789,11910,255,204,11955,0,170
4445,201,11962,18714,255,202,12058,11935,255,203,11789,11907,255,204,11961,0,170
4453,201,11959,18681,255,202,12055,11934,255,203,11786,11903,255,204,11954,0,170
4460,201,11966,18688,255,202,12060,11929,255,203,11790,11908,255,204,11958,0,170
4468,201,11959,18701,255,202,12057,11928,255,203,11790,11907,255,204,11954,0,170
4476,201,11964,18694,255,202,12065,11938,255,203,11790,11909,255,204,11960,0,170
4484,201,11962,18700,255,202,12056,11932,255,203,11797,11908,255,204,11959,0,170
4492,201,11956,18686,255,202,12060,11930,255,203,11790,11914,255,204,11957,0,170
4500,201,11964,18687,255,202,12065,11927,255,203,11797,11905,255,204,11953,0,170
4507,201,11963,18688,255,202,12073,11927,255,203,11793,11911,255,204,11966,0,170
4515,201,11955,18698,255,202,12061,11936,255,203,11787,11903,255,204,11954,0,170
4523,201,11959,18696,255,202,12061,11931,255,203,11794,11908,255,204,11957,0,170
4531,201,11955,18691,255,202,12064,11935,255,203,11796,11909,255,204,11959,0,170
4539,201,11967,18701,255,202,12069,11927,255,203,11795,11908,255,204,11955,0,170
4546,201,11961,18695,255,202,12066,11930,255,203,11799,11908,255,204,11960,0,170
4554,201,11964,18694,255,202,12069,11930,255,203,11800,11908,255,204,11966,0,170
4562,201,11963,18708,255,202,12070,11935,255,203,11801,11911,255,204,11958,0,170
4570,201,11964,18693,255,202,12069,11931,255,203,11799,11911,255,204,11958,0,170
4578,201,11960,18708,255,202,12066,11932,255,203,11804,11910,255,204,11959,0,170
4585,201,11965,18700,255,202,12054,11932,255,203,11796,11910,255,204,11957,0,170
4593,201,11960,18700,255,202,12062,11929,255,203,11807,11911,255,204,11957,0,170
4601,201,11966,18696,255,202,12066,11928,255,203,11800,11908,255,204,11959,0,170
4609,201,11959,18688,255,202,12062,11929,255,203,11806,11908,255,204,11963,0,170
4617,201,11966,18707,255,202,12058,11937,255,203,11807,11908,255,204,11961,0,170
4625,201,11964,18693,255,202,12058,11935,255,203,11806,11909,255,204,11961,0,170
4632,201,11959,18695,255,202,12061,11934,255,203,11805,11909,255,204,11957,0,170
4640,201,11970,18699,255,202,12058,11929,255,203,11809,11906,255,204,11962,0,170
4648,201,11967,18702,255,202,12069,11929,255,203,11811,11904,255,204,11961,0,170
4656,201,11958,18688,255,202,12067,11928,255,203,11798,11905,255,204,11956,0,170
4664,201,11953,18693,255,202,12062,11937,255,203,11801,11911,255,204,11967,0,170
4671,201,11960,18703,255,202,12066,11927,255,203,11796,11907,255,204,11961,0,170
4679,201,11963,18703,255,202,12058,11932,255,203,11807,11909,255,204,11960,0,170
4687,201,11968,18693,255,202,12065,11931,255,203,11800,11905,255,204,11958,0,170
4695,201,11962,18696,255,202,12063,11932,255,203,11804,11908,255,204,11956,0,170
4703,201,11969,18699,255,202,12069,11935,255,203,11796,11902,255,204,11957,0,170
4710,201,11957,18690,255,202,12057,11938,255,203,11794,11907,255,204,11957,0,170
4718,201,11963,18697,255,202,12059,11935,255,203,11785,11904,255,204,11958,0,170
4726,201,11968,18704,255,202,12055,11934,255,203,11788,11903,255,204,11952,0,170
4734,201,11963,18698,255,202,12060,11938,255,203,11787,11907,255,204,11965,0,170
4742,201,11960,18702,255,202,12058,11936,255,203,11796,11909,255,204,11958,0,170
4750,201,11959,18695,255,202,12069,11927,255,203,11791,11912,255,204,11955,0,170
4757,201,11960,18702,255,202,12064,11922,255,203,11798,11912,255,204,11958,0,170
4765,201,11961,18697,255,202,12062,11931,255,203,11792,11913,255,204,11960,0,170
4773,201,11962,18689,255,202,12065,11923,255,203,11789,11911,255,204,11954,0,170
4781,201,11953,18693,255,202,12061,11931,255,203,11793,11910,255,204,11957,0,170
4789,201,11967,18702,255,202,12063,11921,255,203,11795,11908,255,204,11956,0,170
4796,201,11962,18697,255,202,12064,11933,255,203,11795,11911,255,204,11957,0,170
4804,201,11957,18693,255,202,12074,11927,255,203,11784,11908,255,204,11958,0,170
4812,201,11955,18689,255,202,12063,11933,255,203,11785,11911,255,204,11954,0,170
4820,201,11962,18690,255,202,12064,11932,255,203,11781,11919,255,204,11960,0,170
4828,201,11957,18688,255,202,12069,11924,255,203,11792,11917,255,204,11958,0,170
4835,201,11957,18704,255,202,12061,11933,255,203,11784,11920,255,204,11958,0,170
4843,201,11962,18700,255,202,12060,11934,255,203,11784,11916,255,204,11958,0,170
4851,201,11961,18693,255,202,12061,11929,255,203,11778,11923,255,204,11962,0,170
4859,201,11960,18699,255,202,12059,11930,255,203,11790,11919,255,204,11960,0,170
4867,201,11969,18705,255,202,12063,11932,255,203,11795,11920,255,204,11958,0,170
4875,201,11959,18687,255,202,12054,11930,255,203,11792,11919,255,204,11962,0,170
4882,201,11965,18697,255,202,12057,11928,255,203,11798,11915,255,204,11952,0,170
4890,201,11960,18693,255,202,12054,11934,255,203,11800,11920,255,204,11955,0,170
4898,201,11969,18713,255,202,12057,11931,255,203,11798,11924,255,204,11960,0,170
4906,201,11960,18693,255,202,12058,11932,255,203,11797,11920,255,204,11960,0,170
4914,201,11961,18705,255,202,12048,11927,255,203,11798,11920,255,204,11959,0,170
4921,201,11957,18685,255,202,12056,11929,255,203,11801,11918,255,204,11962,0,170
4929,201,11953,18691,255,202,12052,11928,255,203,11797,11919,255,204,11957,0,170
4937,201,11959,18713,255,202,12051,11922,255,203,11796,11918,255,204,11957,0,170
4945,201,11958,18700,255,202,12054,11927,255,203,11800,11922,255,204,11961,0,170
4953,201,11959,18689,255,202,12049,11926,255,203,11790,11916,255,204,11961,0,170
4960,201,11959,18691,255,202,12050,11927,255,203,11792,11918,255,204,11960,0,170
4968,201,11963,18695,255,202,12058,11924,255,203,11792,11915,255,204,11959,0,170
4976,201,11960,18697,255,202,12051,11927,255,203,11785,11911,255,204,11961,0,170
4984,201,11962,18704,255,202,12056,11927,255,203,11781,11911,255,204,11965,0,170
4992,201,11952,18689,255,202,12051,11924,255,203,11787,11915,255,204,11967,0,170
5000,201,11965,18700,255,202,12055,11929,255,203,11787,11915,255,204,11958,0,170
5007,201,11956,18694,255,202,12049,11920,255,203,11785,11911,255,204,11956,0,170
5015,201,11962,18691,255,202,12056,11919,255,203,11783,11911,255,204,11962,0,170
5023,201,11955,18692,255,202,12048,11925,255,203,11792,11913,255,204,11964,0,170
5031,201,11959,18704,255,202,12050,11918,255,203,11791,11908,255,204,11959,0,170
5039,201,11960,18693,255,202,12046,11916,255,203,11788,11908,255,204,11956,0,170
5046,201,11956,18686,255,202,12054,11919,255,203,11791,11914,255,204,11957,0,170
5054,201,11954,18700,255,202,12053,11920,255,203,11793,11907,255,204,11962,0,170
5062,201,11962,18696,255,202,12054,11925,255,203,11780,11904,255,204,11959,0,170
5070,201,11956,18693,255,202,12048,11918,255,203,11778,11899,255,204,11954,0,170
5078,201,11956,18694,255,202,12060,11917,255,203,11775,11903,255,204,11966,0,170
5085,201,11964,18691,255,202,12059,11914,255,203,11785,11901,255,204,11959,0,170
5093,201,11959,18682,255,202,12056,11920,255,203,11784,11897,255,204,11958,0,170
5101,201,11969,18687,255,202,12059,11915,255,203,11785,11893,255,204,11963,0,170
5109,201,11966,18687,255,202,12057,11917,255,203,11789,11895,255,204,11957,0,170
5117,201,11967,18695,255,202,12053,11923,255,203,11784,11896,255,204,11955,0,170
5125,201,11960,18696,255,202,12052,11914,255,203,11788,11896,255,204,11960,0,170
5132,201,11959,18691,255,202,12056,11908,255,203,11783,11894,255,204,11963,0,170
5140,201,11965,18691,255,202,12050,11918,255,203,11783,11897,255,204,11960,0,170
5148,201,11967,18688,255,202,12057,11915,255,203,11790,11891,255,204,11961,0,170
5156,201,11956,18693,255,202,12053,11919,255,203,11784,11889,255,204,11952,0,170
5164,201,11965,18690,255,202,12051,11914,255,203,11781,11894,255,204,11959,0,170
5171,201,11962,18672,255,202,12052,11909,255,203,11785,11886,255,204,11962,0,170
5179,201,11970,18694,255,202,12061,11917,255,203,11769,11877,255,204,11958,0,170
5187,201,11968,18684,255,202,12061,11922,255,203,11772,11864,255,204,11960,0,170
5195,201,11967,18697,255,202,12053,11914,255,203,11781,11859,255,204,11954,0,170
