18244,201,12034,18922,255,202,12130,12004,255,203,11865,11958,15,204,12003,0,170
18307,201,12029,18927,255,202,12133,12000,255,203,11870,11962,15,204,12003,0,170
18369,201,12025,18926,255,202,12133,12006,255,203,11868,11962,15,204,12005,0,170
18432,201,12029,18914,255,202,12138,12004,255,203,11863,11963,15,204,12005,0,170
18494,201,12034,18928,255,202,12135,12001,255,203,11861,11961,15,204,12005,0,170
18557,201,12030,18928,255,202,12135,11999,255,203,11866,11965,15,204,12003,0,170
18620,201,12035,18925,255,202,12137,11999,255,203,11864,11968,15,204,12007,0,170
18682,201,12032,18921,255,202,12134,12001,255,203,11864,11969,15,204,12003,0,170
18744,201,12030,18925,255,202,12136,11996,255,203,11866,11967,15,204,12004,0,170
18807,201,12030,18932,255,202,12132,11998,255,203,11864,11969,15,204,12003,0,170
18869,201,12031,18927,255,202,12132,11999,255,203,11863,11977,15,204,12003,0,170
18932,201,12029,18931,255,202,12130,11994,255,203,11865,11980,15,204,12004,0,170
18994,201,12029,18921,255,202,12134,11992,255,203,11859,11980,15,204,12002,0,170
19057,201,12031,18924,255,202,12130,11989,255,203,11863,11977,15,204,12004,0,170
19119,201,12031,18923,255,202,12130,11994,255,203,11862,11970,15,204,12006,0,170
19182,201,12030,18920,255,202,12133,11989,255,203,11854,11966,15,204,12005,0,170
19245,201,12032,18922,255,202,12131,11991,255,203,11859,11970,15,204,12005,0,170
19307,201,12026,18919,255,202,12131,11992,255,203,11857,11971,15,204,12002,0,170
19369,201,12027,18918,255,202,12126,11986,255,203,11859,11969,15,204,12005,0,170
19432,201,12030,18919,255,202,12127,11992,255,203,11858,11968,15,204,12007,0,170
19495,201,12030,18918,255,202,12127,11990,255,203,11855,11969,15,204,12005,0,170
19557,201,12029,18911,255,202,12130,11993,255,203,11854,11970,15,204,12007,0,170
19619,201,12032,18908,255,202,12130,11991,255,203,11852,11968,15,204,12003,0,170
19682,201,12025,18905,255,202,12124,11984,255,203,11850,11970,15,204,12003,0,170
19744,201,12024,18911,255,202,12124,11989,255,203,11850,11966,15,204,12006,0,170
19807,201,12022,18908,255,202,12122,11979,255,203,11855,11963,15,204,12011,0,170
19870,201,12025,18911,255,202,12126,11985,255,203,11854,11960,15,204,12010,0,170
19932,201,12023,18902,255,202,12129,11985,255,203,11851,11957,15,204,12018,0,170
19994,201,12018,18900,255,202,12126,11984,255,203,11853,11954,15,204,12031,0,170
20057,201,12025,18903,255,202,12129,11984,255,203,11853,11953,15,204,12043,0,170
20120,201,12021,18894,255,202,12129,11985,255,203,11852,11952,15,204,12075,0,170
20182,201,12020,18889,255,202,12124,11985,255,203,11852,11955,15,204,12082,0,170
20244,201,12017,18885,255,202,12124,11983,255,203,11851,11951,15,204,12105,0,170
20307,201,12018,18891,255,202,12122,11985,255,203,11857,11957,15,204,12122,0,170
20369,201,12017,18890,255,202,12121,11985,255,203,11851,11953,15,204,12125,0,170
20432,201,12017,18890,255,202,12127,11983,255,203,11851,11950,15,204,12135,0,170
20494,201,12023,18886,255,202,12118,11983,255,203,11848,11949,15,204,12135,0,170
20557,201,12021,18883,255,202,12125,11978,255,203,11843,11945,15,204,12133,0,170
