epoch,y1_meas,y2_meas,y3_meas,y1_pred,y2_pred,y3_pred,innov1,innov2,innov3,u_mpc1,u_mpc2,u_mpc3,triggered
43,0.250000,0.200432,0.151497,0.250000,0.200432,0.151497,-0.000000,-0.000000,-0.000000,7.75664e-05,1.31376e-13,1.01977e-12,1
44,0.250000,0.200454,0.151544,0.250000,0.200454,0.151544,-0.000000,-0.000000,-0.000000,7.01828e-05,4.97687e-12,2.15209e-11,1
45,0.250000,0.200475,0.151590,0.250000,0.200475,0.151590,-0.000000,-0.000000,-0.000000,6.35017e-05,8.77839e-15,6.02363e-14,1
46,0.250000,0.200496,0.151636,0.250000,0.200496,0.151636,-0.000000,-0.000000,-0.000000,5.7457e-05,1.71151e-13,1.65194e-12,1
47,0.250000,0.200518,0.151682,0.250000,0.200518,0.151682,0.000000,0.000000,0.000000,5.19875e-05,3.05124e-11,9.00423e-11,1
48,0.250000,0.200539,0.151728,0.250000,0.200539,0.151728,0.000000,0.000000,0.000000,4.70386e-05,2.20677e-11,6.54547e-11,1
49,0.250000,0.200561,0.151775,0.250000,0.200561,0.151775,0.000000,0.000000,0.000000,4.25609e-05,1.50296e-12,9.12071e-12,1
50,0.250000,0.200582,0.151821,0.250000,0.200582,0.151821,0.000000,0.000000,0.000000,3.85094e-05,1.12559e-12,6.80592e-12,1
51,0.250000,0.200604,0.151867,0.250000,0.200604,0.151867,0.000000,0.000000,0.000000,3.48436e-05,5.62293e-15,2.1074e-14,1
52,0.250000,0.200625,0.151913,0.250000,0.200625,0.151913,0.000000,0.000000,0.000000,3.15268e-05,1.98915e-13,9.777e-13,1
53,0.250000,0.200647,0.151959,0.250000,0.200647,0.151959,-0.000000,-0.000000,-0.000000,2.85257e-05,4.05522e-13,1.39101e-12,1
54,0.250000,0.200668,0.152006,0.250000,0.200668,0.152006,-0.000000,-0.000000,-0.000000,2.58106e-05,2.21785e-12,7.66181e-12,1
55,0.250000,0.200690,0.152052,0.250000,0.200690,0.152052,-0.000000,-0.000000,-0.000000,2.33534e-05,2.23756e-12,7.77085e-12,1
56,0.250000,0.200711,0.152098,0.250000,0.200711,0.152098,-0.000000,-0.000000,-0.000000,2.11297e-05,1.0935e-12,3.81875e-12,1
57,0.250000,0.200733,0.152144,0.250000,0.200733,0.152144,-0.000000,-0.000000,-0.000000,1.91191e-05,3.71664e-13,1.32779e-12,1
58,0.250000,0.200754,0.152191,0.250000,0.200754,0.152191,0.000000,0.000000,0.000000,1.72987e-05,9.04609e-13,3.33317e-12,1
59,0.250000,0.200776,0.152237,0.250000,0.200776,0.152237,0.000000,0.000000,0.000000,1.56525e-05,4.71403e-12,1.77194e-11,1
60,0.250000,0.200797,0.152283,0.250000,0.200797,0.152283,0.000000,0.000000,0.000000,1.41622e-05,8.55652e-12,3.25393e-11,1
