epoch,y1_meas,y2_meas,y3_meas,y1_pred,y2_pred,y3_pred,innov1,innov2,innov3,u_mpc1,u_mpc2,u_mpc3,triggered,y1_nompc,y2_nompc,y3_nompc
35,0.225567,0.199173,0.150028,0.226572,0.199230,0.150029,-0.008673,-0.000459,-0.000012,0.000212093,5.12314e-13,2.14217e-10,1,0.018928,0.197585,0.149928
36,0.225608,0.199119,0.150026,0.226578,0.199179,0.150028,-0.008366,-0.000480,-0.000013,0.000194033,2.19481e-12,6.39759e-10,1,0.004950,0.197414,0.149917
37,0.225685,0.199066,0.150024,0.226622,0.199128,0.150026,-0.008076,-0.000499,-0.000014,0.000177512,1.52645e-14,1.49743e-11,1,0.000000,0.197245,0.149905
38,0.225795,0.199014,0.150021,0.226700,0.199078,0.150024,-0.007801,-0.000518,-0.000016,0.000162393,5.52073e-15,5.17706e-13,1,0.000000,0.197077,0.149892
39,0.225935,0.198962,0.150019,0.226810,0.199029,0.150021,-0.007540,-0.000536,-0.000017,0.000148553,1.25142e-15,1.04383e-13,1,0.000000,0.196911,0.149878
40,0.226101,0.198912,0.150016,0.226949,0.198980,0.150019,-0.007292,-0.000553,-0.000019,0.000135879,1.05856e-15,7.71692e-14,1,0.000000,0.196746,0.149864
41,0.226292,0.198862,0.150013,0.227113,0.198933,0.150016,-0.007057,-0.000570,-0.000021,0.000124269,1.01844e-15,6.89979e-14,1,0.000000,0.196582,0.149849
42,0.226504,0.198814,0.150010,0.227299,0.198886,0.150013,-0.006832,-0.000585,-0.000022,0.000113633,4.14224e-15,3.98101e-13,1,0.000000,0.196420,0.149833
43,0.226736,0.198767,0.150007,0.227506,0.198841,0.150010,-0.006619,-0.000600,-0.000024,0.000103886,2.78821e-11,5.43802e-09,1,0.000000,0.196260,0.149817
44,0.226984,0.198721,0.150003,0.227731,0.198796,0.150006,-0.006414,-0.000614,-0.000026,9.49529e-05,5.97916e-15,2.73457e-12,1,0.000000,0.196100,0.149800
45,0.227247,0.198676,0.149999,0.227972,0.198753,0.150003,-0.006219,-0.000627,-0.000028,8.67647e-05,4.11441e-15,1.43236e-12,1,0.000000,0.195942,0.149782
46,0.227524,0.198632,0.149995,0.228227,0.198711,0.149999,-0.006033,-0.000640,-0.000030,7.92582e-05,1.4565e-11,2.83306e-09,1,0.000000,0.195785,0.149763
47,0.227811,0.198590,0.149991,0.228493,0.198670,0.149995,-0.005854,-0.000652,-0.000032,7.2376e-05,1.26724e-11,3.01016e-09,1,0.000000,0.195630,0.149744
48,0.228108,0.198549,0.149987,0.228771,0.198630,0.149991,-0.005683,-0.000663,-0.000034,6.60657e-05,9.31879e-13,3.50847e-11,1,0.000000,0.195476,0.149724
